字段,出现次数,,,
隶属企业,2591,,,负责人+负责人姓名
负责人,80181,,,首席代表人姓名+经营者姓名+法定代表人+经营者+法定代表人姓名+执行事务合伙人
名称,384545,,,营业场所+经营场所+住所+派出企业注册地+企业住所+地址+主要经营场所
登记状态,207765,,,发照日期+核准日期+合伙期限自+本机构设立日期+注册日期+成立日期+本证有效期自+经营期限自+营业期限自
首席代表人姓名,3379,,,业务范围+经营范围
经营场所,30561,,,成员出资总额+注册资金+注册资本+资金数额
合伙期限自,2404,,,统一社会信用代码+注册号
负责人姓名,985,,,企业类型+类型+合伙企业类型+公司类型
经营范围项下标注,821,,,状态+登记状态+企业状态
类型,207766,,,合伙期限至+营业期限至+经营期限至+本证有效期至
合伙期限至,2404,,,投资人姓名+股东（发起人+投资人）
经营者姓名,14000,,,业务范围+经营范围+住所+派出企业注册地
经济性质,45828,,,发照机关+登记机关
本机构设立日期,3379,,,注销日期+吊销日期
股东（发起人）,3225,,,
营业场所,65605,,,
核准日期,207765,,,
派出企业注册地,3379,,,
业务范围,734,,,
注册资金,31274,,,
投资人姓名,12837,,,
经营范围,382990,,,
注册号,267196,,,
成员出资总额,1529,,,
住所,254257,,,
统一社会信用代码,117349,,,
执行事务合伙人（委派代表）,1,,,
执行事务合伙人,3351,,,
合伙企业类型,948,,,
发照日期,14000,,,
(注不得从事权益类交易、大宗商品交易以及其他标准化合约交易等金融类证券类活动。),1,,,
法定代表人,247051,,,
经营者,15554,,,
企业类型,2591,,,
注册资本,7387,,,
状态,14000,,,
发照机关,59585,,,
驻在期限自,3379,,,
注册日期,15554,,,
企业住所,12837,,,
企业状态,161853,,,
经营期限至,3,,,
注销日期,52216,,,
经营期限自,14558,,,
本证有效期限自,3379,,,
营业期限至,214325,,,
投资人,6385,,,
公司类型,94464,,,
reg_bus_ent_id,384545,,,
法定代表人姓名,821,,,
地址,17933,,,
登记机关,324959,,,
本证有效期限至,3379,,,
营业期限自,251723,,,
派出企业名称,3379,,,
吊销日期,81986,,,
成立日期,290192,,,
组成形式,29554,,,
资金数额,14554,,,
主要经营场所,3352,,,
国籍,3379,,,
_id,384545,,,
